timestamp,gpu_util_pct,gpu_mem_used_mb,gpu_mem_free_mb,cpu_util_pct
2026-06-03 16:27:58,0,2245,1524,9.2
2026-06-03 16:28:00,0,2245,1524,6.7
2026-06-03 16:28:01,0,2245,1524,3.9
2026-06-03 16:28:02,0,2245,1524,2.8
2026-06-03 16:28:04,0,2245,1524,1.7
2026-06-03 16:28:05,0,2245,1524,11.8
2026-06-03 16:28:06,0,2245,1524,2.8
2026-06-03 16:28:07,0,2245,1524,1.7
2026-06-03 16:28:09,0,2245,1524,4.4
2026-06-03 16:28:10,0,2245,1524,8.9
2026-06-03 16:28:11,3,2245,1524,2.8
2026-06-03 16:28:12,0,2245,1524,1.1
2026-06-03 16:28:14,0,2245,1524,1.7
2026-06-03 16:28:15,0,2245,1524,8.4
2026-06-03 16:28:16,0,2245,1524,5.6
2026-06-03 16:28:17,0,2245,1524,1.1
2026-06-03 16:28:19,0,2245,1524,1.1
2026-06-03 16:28:20,0,2245,1524,1.7
2026-06-03 16:28:21,0,2245,1524,7.9
2026-06-03 16:28:22,0,2245,1524,1.7
2026-06-03 16:28:24,0,2245,1524,2.2
2026-06-03 16:28:25,0,2245,1524,1.7
2026-06-03 16:28:26,0,2245,1524,7.9
2026-06-03 16:28:27,0,2245,1524,1.7
2026-06-03 16:28:29,0,2245,1524,1.7
2026-06-03 16:28:30,0,2245,1524,1.7
2026-06-03 16:28:31,0,2245,1524,7.2
2026-06-03 16:28:33,0,2245,1524,8.4
2026-06-03 16:28:34,0,2245,1524,1.7
2026-06-03 16:28:35,0,2245,1524,1.1
2026-06-03 16:28:36,0,2245,1524,1.1
2026-06-03 16:28:38,0,2245,1524,7.9
2026-06-03 16:28:39,0,2245,1524,1.1
2026-06-03 16:28:40,0,2245,1524,1.1
2026-06-03 16:28:41,0,2245,1524,1.7
2026-06-03 16:28:43,0,2245,1524,7.8
2026-06-03 16:28:44,0,2245,1524,1.1
2026-06-03 16:28:45,0,2245,1524,1.7
2026-06-03 16:28:46,0,2245,1524,1.1
2026-06-03 16:28:48,0,2245,1524,6.1
2026-06-03 16:28:49,0,2245,1524,7.8
2026-06-03 16:28:50,0,2245,1524,1.7
2026-06-03 16:28:51,0,2245,1524,1.7
2026-06-03 16:28:53,0,2245,1524,1.7
2026-06-03 16:28:54,0,2245,1524,7.8
2026-06-03 16:28:55,0,2245,1524,1.1
2026-06-03 16:28:56,0,2245,1524,1.7
2026-06-03 16:28:58,0,2245,1524,1.7
2026-06-03 16:28:59,0,2245,1524,8.3
2026-06-03 16:29:00,0,2245,1524,1.1
2026-06-03 16:29:02,0,2245,1524,1.7
2026-06-03 16:29:03,0,2245,1524,1.7
2026-06-03 16:29:04,0,2245,1524,5.6
2026-06-03 16:29:05,0,2245,1524,8.3
2026-06-03 16:29:07,0,2245,1524,2.8
2026-06-03 16:29:08,0,2245,1524,7.3
2026-06-03 16:29:09,0,2245,1524,2.2
2026-06-03 16:29:10,0,2245,1524,10.0
2026-06-03 16:29:12,0,2245,1524,2.8
2026-06-03 16:29:13,0,2245,1524,10.6
2026-06-03 16:29:14,0,2245,1524,2.2
